feature_id,feature_name,portal,feature_priority,feature_surface,api_id,api_name,method,endpoint,api_priority,api_status,auth,domain
F-CUS-WISHLIST,Wishlist,customer,P0,/wishlist,API-WISH-03,Remove wishlist,DELETE,/wishlist/{productId},P0,exists,customer,Wishlist
F-CUS-WISHLIST,Wishlist,customer,P0,/wishlist,API-WISH-04,Toggle wishlist,POST,/wishlist/{productId}/toggle,P0,exists,customer,Wishlist
F-CUS-SIGNIN,Customer sign-in,customer,P0,/signin,API-AUTH-02,Customer sign-in,POST,/auth/customer/sign-in,P0,exists,none,Auth
F-CUS-SIGNUP,Customer sign-up,customer,P0,/signup,API-AUTH-01,Customer sign-up,POST,/auth/customer/sign-up,P0,exists,none,Auth
F-CUS-FORGOT,Forgot password,customer,P0,/forgot-password,API-AUTH-04,Customer forgot password,POST,/auth/customer/forgot-password,P0,exists,none,Auth
F-CUS-RESET,Reset password,customer,P0,/reset-password,API-AUTH-05,Customer reset password,POST,/auth/customer/reset-password,P0,exists,none,Auth
F-CUS-SIGNOUT,Sign out,customer,P0,account,API-AUTH-03,Customer sign-out,POST,/auth/customer/sign-out,P0,exists,customer,Auth
F-CUS-ACCOUNT,Account dashboard,customer,P0,/account,API-AUTH-13,Restore customer profile,GET,/customers/me,P0,exists,customer,Auth
F-CUS-ACCOUNT,Account dashboard,customer,P0,/account,API-ORD-02,List my orders,GET,/orders,P0,exists,customer,Orders / returns / fulfillment
F-CUS-ACCOUNT,Account dashboard,customer,P0,/account,API-WISH-01,Get wishlist,GET,/wishlist,P0,exists,customer,Wishlist
F-CUS-PROFILE,Profile,customer,P0,/account/profile,API-AUTH-13,Restore customer profile,GET,/customers/me,P0,exists,customer,Auth
F-CUS-PROFILE,Profile,customer,P0,/account/profile,API-CUS-01,Update profile,PATCH,/customers/me,P0,exists,customer,Customers
F-CUS-ADDRESSES,Addresses,customer,P0,/account/addresses,API-CUS-04,List addresses,GET,/customers/me/addresses,P0,exists,customer,Customers
F-CUS-ADDRESSES,Addresses,customer,P0,/account/addresses,API-CUS-05,Add address,POST,/customers/me/addresses,P0,exists,customer,Customers
F-CUS-ADDRESSES,Addresses,customer,P0,/account/addresses,API-CUS-06,Update address,PATCH,/customers/me/addresses/{addressId},P0,exists,customer,Customers
F-CUS-ADDRESSES,Addresses,customer,P0,/account/addresses,API-CUS-07,Delete address,DELETE,/customers/me/addresses/{addressId},P0,exists,customer,Customers
F-CUS-ADDRESSES,Addresses,customer,P0,/account/addresses,API-CUS-08,Default address,POST,/customers/me/addresses/{addressId}/default,P0,exists,customer,Customers
F-CUS-ORDERS,Orders list,customer,P0,/account/orders,API-ORD-02,List my orders,GET,/orders,P0,exists,customer,Orders / returns / fulfillment
F-CUS-ORDERS,Orders list,customer,P0,/account/orders,API-ORD-08,Claim guest orders,POST,/orders/claim-guest,P1,exists,customer,Orders / returns / fulfillment
F-CUS-ORDER-DETAIL,Order detail / cancel,customer,P0,/account/orders/:id,API-ORD-03,Get order,GET,/orders/{orderId},P0,exists,customer,Orders / returns / fulfillment
F-CUS-ORDER-DETAIL,Order detail / cancel,customer,P0,/account/orders/:id,API-ORD-05,Cancel order,POST,/orders/{orderId}/cancel,P0,exists,customer,Orders / returns / fulfillment
F-CUS-TRACKING,Order tracking,customer,P1,.../track,API-ORD-04,Tracking,GET,/orders/{orderId}/tracking,P1,exists,customer,Orders / returns / fulfillment
F-CUS-RETURN,Request return,customer,P1,.../return,API-ORD-06,Create return,POST,/orders/{orderId}/returns,P1,exists,customer,Orders / returns / fulfillment
F-CUS-RETURN,Request return,customer,P1,.../return,API-ORD-07,Get return,GET,/orders/{orderId}/returns/{returnId},P1,exists,customer,Orders / returns / fulfillment
F-CUS-SETTINGS,Account settings,customer,P1,/account/settings,API-AUTH-13,Restore customer profile,GET,/customers/me,P0,exists,customer,Auth
F-CUS-SETTINGS,Account settings,customer,P1,/account/settings,API-CUS-01,Update profile,PATCH,/customers/me,P0,exists,customer,Customers
F-CUS-SECURITY,Security,customer,P0,/account/security,API-AUTH-06,Customer change password,POST,/auth/change-password,P0,exists,customer,Auth
F-CUS-SECURITY,Security,customer,P0,/account/security,API-CUS-03,Revoke other sessions,POST,/customers/me/sessions/revoke-others,P1,exists,customer,Customers
F-CUS-PREFERENCES,Preferences,customer,P1,/account/preferences,API-CUS-02,Update preferences,PATCH,/customers/me/preferences,P1,exists,customer,Customers
F-CUS-OFFERS,Offers / coupons,customer,P1,explore/home/checkout,API-OFF-01,List public offers,GET,/offers,P1,exists,none,Offers
F-CUS-OFFERS,Offers / coupons,customer,P1,explore/home/checkout,API-OFF-02,Validate offer code,POST,/offers/validate,P0,exists,none,Offers
F-CUS-OFFERS,Offers / coupons,customer,P1,explore/home/checkout,API-SRCH-03,Explore offers,GET,/explore/offers,P1,exists,none,Search / home / explore
F-CUS-AI-MIRROR,AI Mirror,customer,P3,/account/ai-mirror,API-AI-02,AI Mirror,POST,/ai/mirror,P3,missing,customer,"AI (preview UI, no client)"
F-CUS-AI-SHOPPING,AI Shopping assistant,customer,P3,/account/ai-shopping,API-AI-01,Shopping assistant,POST,/ai/shopping,P3,missing,customer,"AI (preview UI, no client)"
F-ADM-LOGIN,Admin login/logout,admin,P0,/admin/login,API-AUTH-10,Admin sign-in,POST,/auth/admin/sign-in,P0,exists,none,Auth
F-ADM-LOGIN,Admin login/logout,admin,P0,/admin/login,API-AUTH-11,Admin sign-out,POST,/auth/admin/sign-out,P0,exists,admin,Auth
F-ADM-LOGIN,Admin login/logout,admin,P0,/admin/login,API-AUTH-12,Current session,GET,/auth/me,P0,exists,any JWT,Auth
F-ADM-DASHBOARD,Admin dashboard,admin,P1,/admin/dashboard,API-AN-01,Analytics overview,GET,/analytics/overview,P1,exists,admin,Analytics / RBAC / audit
F-ADM-DASHBOARD,Admin dashboard,admin,P1,/admin/dashboard,API-AN-05,Analytics orders,GET,/analytics/orders,P1,exists,admin,Analytics / RBAC / audit
F-ADM-DASHBOARD,Admin dashboard,admin,P1,/admin/dashboard,API-AN-06,Inventory summary analytics,GET,/analytics/inventory-summary,P1,exists,admin,Analytics / RBAC / audit
F-ADM-DASHBOARD,Admin dashboard,admin,P1,/admin/dashboard,API-AORD-01,Admin list orders,GET,/admin/orders,P0,exists,admin,Orders / returns / fulfillment
F-ADM-ACTIVITY,Admin activity / audit,admin,P1,/admin/activity,API-AUD-01,Audit logs,GET,/audit/logs,P1,exists,admin,Analytics / RBAC / audit
F-ADM-PROFILE,Admin profile,admin,P1,/admin/profile,API-AUTH-12,Current session,GET,/auth/me,P0,exists,any JWT,Auth
F-ADM-EMPLOYEES,Employees directory,admin,P1,/admin/employees,API-EMP-01,List employees,GET,/admin/employees,P1,exists,admin,Employees / org
F-ADM-EMPLOYEES,Employees directory,admin,P1,/admin/employees,API-EMP-08,Delete employee,DELETE,/admin/employees/{id},P2,exists,admin,Employees / org
F-ADM-EMPLOYEES,Employees directory,admin,P1,/admin/employees,API-EMP-09,List departments,GET,/admin/employees/departments,P2,exists,admin,Employees / org
F-ADM-EMPLOYEES,Employees directory,admin,P1,/admin/employees,API-EMP-13,List sections,GET,/admin/employees/sections,P2,exists,admin,Employees / org
F-ADM-EMPLOYEE-CREATE,Create employee,admin,P1,/admin/employees/new,API-EMP-03,Create employee,POST,/admin/employees,P1,exists,admin,Employees / org
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-EMP-02,Get employee,GET,/admin/employees/{id},P1,exists,admin,Employees / org
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-ATT-01,Admin get employee attendance,GET,/admin/employees/{employeeId}/attendance,P1,exists,admin,"Attendance (admin exists, employee punch missing)"
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-ATT-02,Admin create attendance,POST,/admin/employees/{employeeId}/attendance,P1,exists,admin,"Attendance (admin exists, employee punch missing)"
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-ATT-03,Admin update attendance,PATCH,/admin/employees/attendance/{attendanceId},P1,exists,admin,"Attendance (admin exists, employee punch missing)"
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-LEV-03,Admin list leave,GET,/admin/leave,P2,missing,admin,"Leave / performance (UI, no client)"
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-LEV-04,Admin decide leave,POST,/admin/leave/{id}/decision,P2,missing,admin,"Leave / performance (UI, no client)"
F-ADM-EMPLOYEE-DETAIL,Employee detail + attendance,admin,P1,/admin/employees/:id,API-PERF-02,Admin performance,GET,/admin/performance,P2,missing,admin,"Leave / performance (UI, no client)"
F-ADM-EMPLOYEE-EDIT,Edit employee,admin,P1,.../edit,API-EMP-04,Update employee,PATCH,/admin/employees/{id},P1,exists,admin,Employees / org
F-ADM-EMPLOYEE-EDIT,Edit employee,admin,P1,.../edit,API-EMP-05,Employee status,POST,/admin/employees/{id}/status,P1,exists,admin,Employees / org
F-ADM-EMPLOYEE-EDIT,Edit employee,admin,P1,.../edit,API-EMP-06,Reset employee password,POST,/admin/employees/{id}/reset-password,P1,exists,admin,Employees / org
F-ADM-EMPLOYEE-EDIT,Edit employee,admin,P1,.../edit,API-EMP-07,Employee permissions,PUT,/admin/employees/{id}/permissions,P2,exists,admin,Employees / org
F-ADM-PRODUCTS,Admin products list,admin,P0,/admin/products,API-APROD-01,Admin list products,GET,/admin/products,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCTS,Admin products list,admin,P0,/admin/products,API-APROD-06,Admin product metrics,GET,/admin/products/metrics,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCTS,Admin products list,admin,P0,/admin/products,API-APROD-19,Bulk update,POST,/admin/products/bulk,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-CREATE,Create product draft,admin,P0,/admin/products/new,API-APROD-03,Admin create draft,POST,/admin/products/draft,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-CREATE,Create product draft,admin,P0,/admin/products/new,API-APROD-02,Admin create product,POST,/admin/products,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-CREATE,Create product draft,admin,P0,/admin/products/new,API-APROD-04,Next Product ID,GET,/admin/products/next-id,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-CREATE,Create product draft,admin,P0,/admin/products/new,API-APROD-05,Admin availability check,GET,/admin/products/availability,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-EDIT,Edit product,admin,P0,.../edit,API-APROD-07,Admin get product,GET,/admin/products/{id},P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-EDIT,Edit product,admin,P0,.../edit,API-APROD-08,Admin patch product,PATCH,/admin/products/{id},P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-EDIT,Edit product,admin,P0,.../edit,API-APROD-17,Change Product ID,POST,/admin/products/{id}/change-id,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-EDIT,Edit product,admin,P0,.../edit,API-APROD-18,Duplicate product,POST,/admin/products/{id}/duplicate,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-DETAIL,Product detail (admin),admin,P0,/admin/products/:id,API-APROD-07,Admin get product,GET,/admin/products/{id},P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-DETAIL,Product detail (admin),admin,P0,/admin/products/:id,API-APROD-16,Publish issues,GET,/admin/products/{id}/publish-issues,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-PROD-07,Submit product for review,POST,/products/{id}/submit-review,P0,exists,admin|employee,Products (public)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-10,Approve product,POST,/admin/products/{id}/approve,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-11,Reject/return product,POST,/admin/products/{id}/reject,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-12,Publish product,POST,/admin/products/{id}/publish,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-13,Unpublish product,POST,/admin/products/{id}/unpublish,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-14,Archive product,POST,/admin/products/{id}/archive,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-15,Restore product,POST,/admin/products/{id}/restore,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-16,Publish issues,GET,/admin/products/{id}/publish-issues,P0,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-WORKFLOW,Product workflow,admin,P0,review + commands,API-APROD-20,Clear review flags,POST,/admin/products/{id}/review-flags/clear,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-ASSIGN,Assign product to employee,admin,P1,product editor,API-APROD-09,Assign employee,POST,/admin/products/{id}/assign,P1,exists,admin,Products (admin/employee)
F-ADM-PRODUCT-MEDIA,Product media manager,admin,P0,.../media,API-MED-05,Upload object,POST,/media/objects,P0,exists,admin,Product media
F-ADM-PRODUCT-MEDIA,Product media manager,admin,P0,.../media,API-MED-06,Upload product-scoped object,POST,/media/products/{id}/objects,P0,exists,admin|employee as currently scoped,Product media
F-ADM-PRODUCT-MEDIA,Product media manager,admin,P0,.../media,API-MED-08,Register media,POST,/media/register,P0,exists,admin,Product media
F-ADM-PRODUCT-MEDIA,Product media manager,admin,P0,.../media,API-MED-04,Product media set,GET,/media/products/{id}/media-set,P0,exists,none,Product media
F-ADM-PRODUCT-MEDIA,Product media manager,admin,P0,.../media,API-MED-09,List media assets,GET,/media/assets,P0,exists,admin,Product media
F-ADM-MEDIA,Media library,admin,P0,/admin/media,API-MED-09,List media assets,GET,/media/assets,P0,exists,admin,Product media
F-ADM-MEDIA,Media library,admin,P0,/admin/media,API-MED-01,Storage status,GET,/media/storage/status,P1,exists,none,Product media
F-ADM-MEDIA,Media library,admin,P0,/admin/media,API-MED-07,Delete object,DELETE,/media/objects/{key},P1,exists,admin,Product media
F-ADM-MEDIA-UPLOAD,Media upload,admin,P0,/admin/media/upload,API-MED-05,Upload object,POST,/media/objects,P0,exists,admin,Product media
F-ADM-MEDIA-UPLOAD,Media upload,admin,P0,/admin/media/upload,API-MED-08,Register media,POST,/media/register,P0,exists,admin,Product media
F-ADM-MEDIA-UPLOAD,Media upload,admin,P0,/admin/media/upload,API-MED-01,Storage status,GET,/media/storage/status,P1,exists,none,Product media
F-ADM-MEDIA-REVIEW,Media review,admin,P1,/admin/media/review,API-MMED-02,List media reviews,GET,/admin/media-reviews,P1,stub,admin,Marketing media (gap)
F-ADM-MEDIA-REVIEW,Media review,admin,P1,/admin/media/review,API-MMED-03,Approve media review,POST,/admin/media-reviews/{id}/approve,P1,stub,admin,Marketing media (gap)
F-ADM-MEDIA-REVIEW,Media review,admin,P1,/admin/media/review,API-MMED-04,Reject media review,POST,/admin/media-reviews/{id}/reject,P1,stub,admin,Marketing media (gap)
F-ADM-MARKETING-MEDIA,Marketing media,admin,P1,/admin/media/marketing,API-MMED-01,List marketing media,GET,/admin/marketing-media,P1,stub,admin,Marketing media (gap)
F-ADM-MARKETING-MEDIA,Marketing media,admin,P1,/admin/media/marketing,API-MMED-02,List media reviews,GET,/admin/media-reviews,P1,stub,admin,Marketing media (gap)
F-ADM-MEDIA-MAPPING,Media product mapping,admin,P1,/admin/media/product-mapping,API-MED-09,List media assets,GET,/media/assets,P0,exists,admin,Product media
F-ADM-MEDIA-MAPPING,Media product mapping,admin,P1,/admin/media/product-mapping,API-MED-08,Register media,POST,/media/register,P0,exists,admin,Product media
F-ADM-MEDIA-MAPPING,Media product mapping,admin,P1,/admin/media/product-mapping,API-MED-04,Product media set,GET,/media/products/{id}/media-set,P0,exists,none,Product media
F-ADM-MEDIA-DETAIL,Media detail,admin,P1,/admin/media/:id,API-MED-03,Object meta,GET,/media/object-meta/{key},P1,exists,none,Product media
F-ADM-MEDIA-DETAIL,Media detail,admin,P1,/admin/media/:id,API-MED-09,List media assets,GET,/media/assets,P0,exists,admin,Product media
F-ADM-CATEGORIES,Categories manager,admin,P0,/admin/categories,API-CAT-04,Admin list categories,GET,/admin/categories,P0,exists,admin,Categories / taxonomy
F-ADM-CATEGORIES,Categories manager,admin,P0,/admin/categories,API-COL-12,Taxonomy metrics,GET,/admin/taxonomy/metrics,P1,exists,admin,Collections
F-ADM-CATEGORIES,Categories manager,admin,P0,/admin/categories,API-COL-13,Taxonomy product counts,GET,/admin/taxonomy/product-counts,P1,exists,admin,Collections
F-ADM-CATEGORY-CREATE,Create category,admin,P1,/admin/categories/new,API-CAT-07,Create category,POST,/admin/categories,P1,exists,admin,Categories / taxonomy
F-ADM-CATEGORY-EDIT,Edit/activate/archive category,admin,P1,.../edit,API-CAT-05,Admin get category,GET,/admin/categories/{idOrSlug},P0,exists,admin,Categories / taxonomy
F-ADM-CATEGORY-EDIT,Edit/activate/archive category,admin,P1,.../edit,API-CAT-08,Update category,PATCH,/admin/categories/{id},P1,exists,admin,Categories / taxonomy
F-ADM-CATEGORY-EDIT,Edit/activate/archive category,admin,P1,.../edit,API-CAT-09,Activate category,POST,/admin/categories/{id}/activate,P1,exists,admin,Categories / taxonomy
F-ADM-CATEGORY-EDIT,Edit/activate/archive category,admin,P1,.../edit,API-CAT-10,Archive category,POST,/admin/categories/{id}/archive,P1,exists,admin,Categories / taxonomy
F-ADM-CATEGORY-EDIT,Edit/activate/archive category,admin,P1,.../edit,API-CAT-11,Restore category,POST,/admin/categories/{id}/restore,P1,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-06,Admin list subcategories,GET,/admin/categories/{categoryId}/subcategories,P0,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-12,Create subcategory,POST,/admin/categories/{categoryId}/subcategories,P1,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-13,Update subcategory,PATCH,/admin/subcategories/{id},P1,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-14,Activate subcategory,POST,/admin/subcategories/{id}/activate,P1,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-15,Archive subcategory,POST,/admin/subcategories/{id}/archive,P1,exists,admin,Categories / taxonomy
F-ADM-SUBCATEGORIES,Subcategories,admin,P1,.../subcategories,API-CAT-16,Restore subcategory,POST,/admin/subcategories/{id}/restore,P1,exists,admin,Categories / taxonomy
F-ADM-COLLECTIONS,Collections manager,admin,P1,/admin/collections,API-COL-03,Admin list collections,GET,/admin/collections,P1,exists,admin,Collections
F-ADM-COLLECTIONS,Collections manager,admin,P1,/admin/collections,API-COL-12,Taxonomy metrics,GET,/admin/taxonomy/metrics,P1,exists,admin,Collections
F-ADM-COLLECTION-CREATE,Create collection,admin,P1,.../new,API-COL-05,Create collection,POST,/admin/collections,P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-04,Admin get collection,GET,/admin/collections/{id},P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-06,Update collection,PATCH,/admin/collections/{id},P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-07,Activate collection,POST,/admin/collections/{id}/activate,P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-08,Pause collection,POST,/admin/collections/{id}/pause,P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-09,Archive collection,POST,/admin/collections/{id}/archive,P1,exists,admin,Collections
F-ADM-COLLECTION-EDIT,Edit collection lifecycle,admin,P1,.../edit,API-COL-10,Restore collection,POST,/admin/collections/{id}/restore,P1,exists,admin,Collections
F-ADM-COLLECTION-PRODUCTS,Collection products,admin,P1,.../products,API-COL-11,Assign collection products,PUT,/admin/collections/{id}/products,P1,exists,admin,Collections
